t,BASE_ORE_MIX,SAG_J,SAG_POW,SAG_OF_P80,SAG_J_M,SAG_POW_M,SAG_OF_P80_M
0,0,0.000350405725743741,-0.00751428560488421,9.9475983006414e-14,0.00615535375564136,0.00883471314773487,9.0689830224579
0.0499999999999998,0,0.000323738216941649,-0.00694263449508981,9.9475983006414e-14,-2.41116754349876,1.59038679916603,-0.0421560525413014
0.0999999999999996,0,0.000298464963243816,-0.00640080776497598,9.9475983006414e-14,0.407538670844424,-0.856070970290148,-9.06502349806811
0.15,0,0.000274517576841049,-0.00588734379493872,9.9475983006414e-14,-0.0656727246825284,-1.81015255557213,-7.22170634801344
0.2,0,0.00025183083574376,-0.00540085401507895,9.9475983006414e-14,-0.0659283088100437,2.56698048261728,2.44069745816375
0.25,0,0.000230341736543238,-0.00494001364495489,9.9475983006414e-14,-0.175465808070488,1.23758117941497,2.88739944269338
0.3,0,0.000209989298941338,-0.0045035396849471,9.9475983006414e-14,-0.998688035815597,-1.5113242010616,-1.57569886470839
0.35,0,0.000190714961441074,-0.00409019166500002,9.9475983006414e-14,0.324469104559462,2.44376838294579,1.02420320154175
0.4,0,0.000172462787041638,-0.0036987746750583,9.9475983006414e-14,-0.47686094306162,2.1537011731084,1.14144833565152
0.45,0,0.000155179647443049,-0.00332814551506999,9.9475983006414e-14,-0.698258849031131,0.467422609740424,6.71051134887566
0.5,0,0.000138815231942147,-0.00297721776496473,9.9475983006414e-14,0.666008031369358,-0.269699137111502,-11.3595138920436
0.55,0,0.000123321910741936,-0.00264496335489639,9.9475983006414e-14,0.239623630311442,-1.42916430381138,-8.24100600185982
0.6,0,0.000108654515841522,-0.00233041047499682,9.9475983006414e-14,-0.991949190083329,4.75848317239434,-0.476655701108385
0.65,0,9.47701156412961e-05,-0.00203263905495987,9.9475983006414e-14,0.176168405751135,1.26061976878805,-5.15214160935092
0.7,0,8.16278347421928e-05,-0.00175077570497706,9.9475983006414e-14,-1.10845543856957,0.717427263140507,7.02728067718216
0.75,0,6.91887381414347e-05,-0.00148398932492455,9.9475983006414e-14,0.76828026005742,-2.18920603042011,-2.31016055404187
0.8,0,5.74157655428564e-05,-0.00123148825491626,9.9475983006414e-14,1.27531063715153,-0.289658432941451,1.04245583640552
0.85,0,4.62736936412966e-05,-0.000992518725070113,9.9475983006414e-14,0.114160117068799,3.22510690590479,-0.365837686879942
0.9,0,3.57290958419298e-05,-0.000766364004903153,9.9475983006414e-14,0.791031569485433,0.737193497912131,3.49596025790729
0.95,0,2.57502874418947e-05,-0.000552343864910654,9.9475983006414e-14,-2.41547281628411,-0.892950834727117,-3.14078961152495
1,0,1.63072489414162e-05,-0.000349813534967325,9.9475983006414e-14,0.142535409499477,-3.50080899249838,-2.19289207783918
1.05,0,7.3715368422711e-06,-0.000158162384877869,9.9475983006414e-14,-0.88621624884928,-0.832550879839118,0.102821717742842
1.1,0,-1.08380905672334e-06,2.31878950671671e-05,9.9475983006414e-14,0.0144619115446289,-1.53525840820885,-3.43644003663567
1.15,0,-9.08435315594147e-06,0.000194785224948646,9.9475983006414e-14,-0.646303256284028,-1.58395491418537,3.1667885022825
1.2,0,-1.66543404560571e-05,0.000357149024921455,9.9475983006414e-14,-1.00980702621085,-0.383199404011748,0.924569225421195
1.25,0,-2.38167618569207e-05,0.000510771845029012,9.9475983006414e-14,0.449785218544147,-0.855861794384055,3.49704213718225
1.3,0,-3.05934121591633e-05,0.000656120734902288,9.9475983006414e-14,-0.441452144165435,-3.37022396390466,-0.253705674359139
1.35,0,-3.70049430564734e-05,0.000793638474988256,9.9475983006414e-14,-1.5000249434379,-2.89345906550238,-4.77761908540751
